yaw_angle,Time(s),rotor power (W)
270,19022.802301,3593847.6034
270,19118.333632,1507119.5046
270,19202.9660955,1271730.06059
270,19290.167171,1162377.02728
270,19379.515534,1358792.7196
270,19467.5115901,1489887.21077
270,19553.9258989,1084941.7285
270,19640.3778616,1238586.20246
270,19727.6739366,964387.919621
270,19816.7297599,1617096.27747
270,19904.559497,1368470.81388
270,19991.8703072,1144078.18764
270,20080.3943224,1263820.0731
270,20165.9305591,938452.635677
270,20222.802301,1363982.49891
270,20222.852301,1368945.95017
270,20222.902301,1104166.42034
270,20222.952301,849403.615603
270,20223.002301,814286.026522
270,20223.052301,914244.566018
270,20223.102301,964570.036655
270,20223.152301,880792.900439
270,20223.202301,774917.194052
270,20223.252301,735854.927068
270,20223.302301,846284.341393
270,20223.352301,980092.615311
270,20223.402301,1157927.81464
270,20223.452301,1596847.12894
270,20223.502301,1766007.39788
270,20223.552301,1868413.07884
270,20223.602301,1844203.20629
270,20223.652301,1784842.22702
270,20223.702301,1704801.50185
270,20223.752301,1650042.7998
270,20223.802301,1621895.73755
270,20223.852301,1626101.36335
270,20223.902301,1625200.50558
270,20223.952301,1616705.33655
270,20224.002301,1761680.2396
270,20224.052301,1743155.49378
270,20224.102301,1720229.59585
270,20224.152301,1704726.62217
270,20224.202301,1670955.29474
270,20224.252301,1649971.9559
270,20224.302301,1686134.69347
270,20224.352301,1665910.56872
270,20224.402301,1631355.49933
270,20224.452301,1715416.59738
270,20224.502301,1775450.52369
270,20224.552301,1954433.87879
270,20224.602301,1917763.64977
270,20224.652301,1973603.18554
270,20224.702301,1996786.09239
270,20224.752301,1975728.46985
270,20224.802301,1959528.06844
270,20224.852301,1959392.37449
270,20224.902301,1948613.61698
270,20224.952301,1878483.92214
270,20225.002301,1770616.20046
270,20225.052301,1635186.55642
270,20225.102301,1727378.69463
270,20225.152301,1642422.75431
270,20225.202301,1648934.51712
270,20225.252301,1689782.85211
270,20225.302301,1648634.96472
270,20225.352301,1633327.33907
270,20225.402301,1676978.02644
270,20225.452301,1683811.44104
270,20225.502301,1623948.77109
270,20225.552301,1546707.89631
270,20225.602301,1650951.1822
270,20225.652301,1536179.21671
270,20225.702301,1411926.80467
270,20225.752301,1341006.52981
270,20225.802301,1359138.93964
270,20225.852301,1368511.07509
270,20225.902301,1389449.82041
270,20225.952301,1381358.78123
270,20226.002301,1380075.28407
270,20226.052301,1398686.90947
270,20226.102301,1413938.72279
270,20226.152301,1545607.37428
270,20226.202301,1540497.76163
270,20226.252301,1550556.28365
270,20226.302301,1556083.02148
270,20226.352301,1518123.72132
270,20226.402301,1478177.45263
270,20226.452301,1481072.27805
270,20226.502301,1439016.66706
270,20226.552301,1394811.3749
270,20226.602301,1434737.93462
270,20226.652301,1469756.926
270,20226.702301,1621131.45587
270,20226.752301,1554534.47353
270,20226.802301,1531456.58342
270,20226.852301,1620937.96292
